account,business_date
97662981,2026-01-27
97643309,2026-01-27
97732048,2026-01-27
97745795,2026-01-27
38832157,2026-01-27
97717286,2026-01-27
97736044,2026-01-27
97610919,2026-01-27
38825966,2026-01-27
97728628,2026-01-27
97728746,2026-01-27
97728637,2026-01-27
97728627,2026-01-27
97740936,2026-01-27
97729179,2026-01-27
97728634,2026-01-27
97728638,2026-01-27
97728629,2026-01-27
97730002,2026-01-27
97730005,2026-01-27
97730022,2026-01-27
97730030,2026-01-27
97730054,2026-01-27
97730057,2026-01-27
97730058,2026-01-27
97730059,2026-01-27
97730060,2026-01-27
97730062,2026-01-27
97730063,2026-01-27
97730064,2026-01-27
97730067,2026-01-27
97730069,2026-01-27
97730071,2026-01-27
97730075,2026-01-27
97730076,2026-01-27
97730078,2026-01-27
97730083,2026-01-27
97730087,2026-01-27
97730088,2026-01-27
97730091,2026-01-27
97730101,2026-01-27
97730105,2026-01-27
97730106,2026-01-27
97730107,2026-01-27
97730110,2026-01-27
97730111,2026-01-27
97730112,2026-01-27
97730114,2026-01-27
97730124,2026-01-27
97730125,2026-01-27
97730126,2026-01-27
97730127,2026-01-27
97730129,2026-01-27
97730143,2026-01-27
97730151,2026-01-27
97730153,2026-01-27
97730158,2026-01-27
97730162,2026-01-27
97730167,2026-01-27
97730170,2026-01-27
97730172,2026-01-27
97730174,2026-01-27
97730176,2026-01-27
97730177,2026-01-27
97730179,2026-01-27
97730185,2026-01-27
97730187,2026-01-27
97730193,2026-01-27
97730200,2026-01-27
97730222,2026-01-27
97730224,2026-01-27
97730226,2026-01-27
97730228,2026-01-27
97730233,2026-01-27
97730234,2026-01-27
97730235,2026-01-27
97730238,2026-01-27
97730243,2026-01-27
97730246,2026-01-27
97730251,2026-01-27
97730266,2026-01-27
97730268,2026-01-27
97730271,2026-01-27
97730274,2026-01-27
97730277,2026-01-27
97730283,2026-01-27
97730285,2026-01-27
97730286,2026-01-27
97730287,2026-01-27
97730290,2026-01-27
97730294,2026-01-27
97730295,2026-01-27
97730296,2026-01-27
97730301,2026-01-27
97730305,2026-01-27
97730308,2026-01-27
97730311,2026-01-27
97730314,2026-01-27
97730315,2026-01-27
97730316,2026-01-27
97730321,2026-01-27
97730323,2026-01-27
97730324,2026-01-27
97730326,2026-01-27
97730331,2026-01-27
97730335,2026-01-27
97730336,2026-01-27
97730337,2026-01-27
97730339,2026-01-27
97730342,2026-01-27
97730343,2026-01-27
97730344,2026-01-27
97730345,2026-01-27
97730346,2026-01-27
97730347,2026-01-27
97730348,2026-01-27
97730350,2026-01-27
97730353,2026-01-27
97730354,2026-01-27
97730356,2026-01-27
97730379,2026-01-27
97730396,2026-01-27
97730402,2026-01-27
97730403,2026-01-27
97730405,2026-01-27
97730406,2026-01-27
97730411,2026-01-27
97730412,2026-01-27
97730415,2026-01-27
97730416,2026-01-27
97730420,2026-01-27
97730437,2026-01-27
97730445,2026-01-27
97730451,2026-01-27
97730452,2026-01-27
97730460,2026-01-27
97730461,2026-01-27
97730462,2026-01-27
97730463,2026-01-27
97730466,2026-01-27
97730467,2026-01-27
97730468,2026-01-27
97730470,2026-01-27
97730475,2026-01-27
97730476,2026-01-27
97730477,2026-01-27
97730481,2026-01-27
97730482,2026-01-27
97730484,2026-01-27
97730487,2026-01-27
97730488,2026-01-27
97730570,2026-01-27
97730578,2026-01-27
97730581,2026-01-27
97730582,2026-01-27
97730583,2026-01-27
97730584,2026-01-27
97730590,2026-01-27
97730595,2026-01-27
97730602,2026-01-27
97730605,2026-01-27
97730606,2026-01-27
97730607,2026-01-27
97730608,2026-01-27
97730615,2026-01-27
97730616,2026-01-27
97730619,2026-01-27
97730667,2026-01-27
97730668,2026-01-27
97730670,2026-01-27
86100001,2026-01-27
86100002,2026-01-27
86100003,2026-01-27
86100004,2026-01-27
86100005,2026-01-27
86100006,2026-01-27
86100007,2026-01-27
86100008,2026-01-27
86100009,2026-01-27
86100010,2026-01-27
86100011,2026-01-27
86100012,2026-01-27
86100013,2026-01-27
86100014,2026-01-27
86100015,2026-01-27
86100016,2026-01-27
86100017,2026-01-27
86100018,2026-01-27
86100019,2026-01-27
86100020,2026-01-27
86100021,2026-01-27
86100022,2026-01-27
86100023,2026-01-27
86100024,2026-01-27
86100025,2026-01-27
86100026,2026-01-27
86100027,2026-01-27
86100028,2026-01-27
86100029,2026-01-27
86100030,2026-01-27
86100031,2026-01-27
86100032,2026-01-27
86100033,2026-01-27
86100034,2026-01-27
86100035,2026-01-27
86100036,2026-01-27
